TimeStamp,EventID,Parameter,Signal,Cycle,CL,YellowStart,RedStart,GreenStart,GreenTime,AIC,TUG,SSC,Headway,ODT,Gap,ODTR,GapR,Int,Det
2022-12-14T15:12:04.900Z,82,11,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,82.9,0,GG,2,1.2,0.8,1.0909,1.6,3rd,stop
2022-12-14T15:12:06.900Z,82,11,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,84.9,0,GG,1.6,1.1,0.5,1,0.0282,3rd,stop
2022-12-14T15:12:08.500Z,82,11,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,86.5,0,GG,18.8,1.1,17.7,1.2222,4.1163,3rd,stop
2022-12-14T15:12:09.300Z,82,10,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,87.3,0,GG,4.7,1,3.7,1.1111,0.8409,3rd,stop
2022-12-14T15:12:14Z,82,10,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,92,0,GG,5.3,0.9,4.4,1.125,0.3034,3rd,stop
2022-12-14T15:12:19.300Z,82,10,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,97.3,0,GG,15.3,0.8,14.5,0.8889,0.4085,3rd,stop
2022-12-14T15:12:27.300Z,82,11,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,105.3,0,GG,5.2,0.9,4.3,1,0.4526,3rd,stop
2022-12-14T15:12:32.500Z,82,11,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,110.5,0,GG,10.4,0.9,9.5,,,3rd,stop
2022-12-14T15:12:34.600Z,82,10,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,112.6,0,GG,36.4,0.9,35.5,,,3rd,stop
2022-12-14T15:12:42.900Z,82,11,Y,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,0.9,56,YY,13.7,0.8,12.9,,,3rd,stop
2022-12-14T15:12:56.600Z,82,11,R,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,14.6,42.3,RG,57.2,46.9,10.3,,,3rd,stop
2022-12-14T15:13:11Z,82,10,R,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,29,27.9,RG,45.3,33.2,12.1,,,3rd,stop
2022-12-14T15:13:53.800Z,82,11,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,71.8,0,GG,7.8,0.8,7,0.8,1.7949,3rd,stop
2022-12-14T15:13:56.300Z,82,10,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,74.3,0,GG,2.6,0.8,1.8,0.8889,0.5294,3rd,stop
2022-12-14T15:13:58.900Z,82,10,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,76.9,0,GG,4.3,0.9,3.4,1.125,4.25,3rd,stop
2022-12-14T15:14:01.600Z,82,11,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,79.6,0,GG,4.9,1,3.9,0.9091,4.875,3rd,stop
2022-12-14T15:14:03.200Z,82,10,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,81.2,0,GG,1.6,0.8,0.8,1,0.3478,3rd,stop
2022-12-14T15:14:04.800Z,82,10,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,82.8,0,GG,3.1,0.8,2.3,0.8889,1.4375,3rd,stop
2022-12-14T15:14:06.500Z,82,11,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,84.5,0,GG,1.9,1.1,0.8,0.55,0.7273,3rd,stop
2022-12-14T15:14:07.900Z,82,10,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,85.9,0,GG,2.5,0.9,1.6,1,5.3333,3rd,stop
2022-12-14T15:14:08.400Z,82,11,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,86.4,0,GG,3.1,2,1.1,2.2222,0.5238,3rd,stop
2022-12-14T15:14:10.400Z,82,10,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,88.4,0,GG,1.2,0.9,0.3,1,0.0682,3rd,stop
2022-12-14T15:14:11.500Z,82,11,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,89.5,0,GG,3,0.9,2.1,1,0.9545,3rd,stop
2022-12-14T15:14:11.600Z,82,10,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,89.6,0,GG,5.3,0.9,4.4,1,1.6923,3rd,stop
2022-12-14T15:14:14.500Z,82,11,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,92.5,0,GG,3.1,0.9,2.2,0.9,2.75,3rd,stop
2022-12-14T15:14:16.900Z,82,10,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,94.9,0,GG,3.5,0.9,2.6,1.125,,3rd,stop
2022-12-14T15:14:17.600Z,82,11,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,95.6,0,GG,1.8,1,0.8,1.1111,0.1509,3rd,stop
2022-12-14T15:14:19.400Z,82,11,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,97.4,0,GG,6.2,0.9,5.3,1,1.4722,3rd,stop
2022-12-14T15:14:20.400Z,82,10,G,7,120,2022-12-14T15:12:42Z,2022-12-14T15:12:45.600Z,2022-12-14T15:13:38.900Z,56.9,98.4,0,GG,,0.8,,,,3rd,stop
